,citynamelist,country,latitude,longitude,temperature,humidity,cloudiness,windspeed,maxtemp
0,Portland,US,45.5234,-122.6762,52.25,74,75,8.01,56.95
1,Souillac,MU,-20.5167,57.5167,73.78,83,40,5.75,73.78
2,Naze,JP,28.3667,129.4833,68.92,85,100,14.03,68.92
3,San Patricio,US,28.017,-97.5169,88.65,42,0,21.03,93.16
4,Rio Grande,BR,-32.035,-52.0986,59.95,78,50,12.1,60.91
5,Puerto Ayora,EC,-0.7393,-90.3518,76.55,91,92,4.0,80.56
6,Mahébourg,MU,-20.4081,57.7,73.69,83,40,5.75,73.69
7,Busselton,AU,-33.65,115.3333,60.13,78,63,1.95,60.13
8,Chui,UY,-33.6971,-53.4616,57.61,67,19,5.12,57.61
9,Tasiilaq,GL,65.6145,-37.6368,37.56,86,100,5.19,37.56
10,Stephenville,US,32.2207,-98.2023,97.16,26,0,16.11,101.8
11,Atuona,PF,-9.8,-139.0333,77.94,62,18,9.19,77.94
12,Hilo,US,19.7297,-155.09,79.43,78,0,13.8,91.27
13,Jamestown,US,42.097,-79.2353,67.41,63,0,12.66,72.52
14,Castro,BR,-24.7911,-50.0119,52.86,68,8,5.48,52.86
15,Monroe,US,43.1501,-77.6831,60.6,81,75,6.91,66.0
16,George Town,MY,5.4112,100.3354,80.65,88,20,2.3,82.33
17,Yellowknife,CA,62.456,-114.3525,50.52,34,20,9.22,50.56
18,Lavrentiya,RU,65.5833,-171.0,33.76,99,94,6.98,33.76
19,Dikson,RU,73.5069,80.5464,30.04,79,100,12.28,30.04
20,Kruisfontein,ZA,-34.0033,24.7314,52.88,90,100,8.63,52.88
21,Wellington,NZ,-41.2866,174.7756,54.21,87,100,13.8,55.06
22,Kalmunai,LK,7.4167,81.8167,81.05,71,95,12.68,81.05
23,Dunedin,NZ,-45.8742,170.5036,44.8,68,100,18.99,44.8
24,Punta Arenas,CL,-53.15,-70.9167,41.11,100,100,9.22,42.82
25,Fairbanks,US,64.8378,-147.7164,59.81,38,75,6.91,62.31
26,Xining,CN,36.6167,101.7667,49.14,72,72,3.4,49.14
27,Yangi Marg`ilon,UZ,40.4272,71.7189,68.72,64,27,4.61,68.72
28,São Filipe,CV,14.8961,-24.4956,75.92,67,27,11.52,75.92
29,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,42,10.76,67.59
30,Mathbaria,BD,22.2876,89.9593,83.32,85,100,6.69,83.32
31,Tepeojuma,MX,18.7167,-98.45,91.31,18,42,8.72,91.31
32,Ternate,ID,0.8,127.4,81.19,79,62,2.64,81.19
33,Barrow,US,71.2906,-156.7887,26.62,80,100,18.41,26.62
34,Avarua,CK,-21.2078,-159.775,77.05,94,75,17.69,77.05
35,Río Cuarto,AR,-33.1307,-64.3499,61.41,19,2,13.2,63.48
36,Ushuaia,AR,-54.8,-68.3,55.06,62,20,8.05,55.06
37,Paraopeba,BR,-19.2757,-44.4033,60.66,44,95,6.73,60.66
38,Saldanha,ZA,-33.0117,17.9442,50.05,63,0,19.01,50.05
39,Rikitea,PF,-23.1203,-134.9692,75.72,80,90,11.68,75.72
40,Severo-Kuril'sk,RU,50.6789,156.125,41.9,90,100,4.9,41.9
41,Mar del Plata,AR,-38.0023,-57.5575,54.95,65,0,8.05,55.42
42,Qaanaaq,GL,77.484,-69.3632,27.9,84,100,7.29,27.9
43,Banda Aceh,ID,5.5577,95.3222,80.35,82,100,8.7,80.35
44,Saint Paul Harbor,US,57.79,-152.4072,54.91,50,0,6.91,54.91
45,Morehead,US,37.2711,-87.1764,86.74,63,40,17.27,87.78
46,Hofn,IS,64.2539,-15.2082,46.47,94,100,11.23,46.47
47,Itarema,BR,-2.9248,-39.9167,77.9,86,85,5.73,77.9
48,Bilibino,RU,68.0546,166.4372,36.61,100,100,1.92,36.61
49,Vaini,TO,-21.2,-175.2,77.16,78,40,9.22,77.16
50,Tadine,NC,-21.55,167.8833,76.14,87,91,17.52,76.14
51,Oranjemund,NA,-28.55,16.4333,54.41,82,30,8.39,54.41
52,Butaritari,KI,3.0707,172.7902,82.09,68,99,13.98,82.09
53,New Norfolk,AU,-42.7826,147.0587,40.48,78,5,2.68,42.93
54,Tilichiki,RU,60.4667,166.1,36.84,84,100,1.77,36.84
55,Hithadhoo,MV,-0.6,73.0833,82.8,75,33,12.21,82.8
56,Santa Rosa,PH,14.3122,121.1114,78.22,91,99,0.56,78.78
57,Saint George,US,37.1041,-113.5841,94.05,10,0,13.8,94.62
58,Sisimiut,GL,66.9395,-53.6735,43.7,48,6,5.14,43.7
59,Nieves,PH,15.3274,120.9485,76.51,89,100,1.19,76.51
60,Tessalit,ML,20.1986,1.0114,91.54,9,0,11.86,91.54
61,Fomboni,KM,-12.28,43.7425,80.42,71,81,11.14,80.42
62,Provideniya,RU,64.3833,-173.3,40.59,79,100,4.81,40.59
63,Hermanus,ZA,-34.4187,19.2345,57.04,58,3,3.83,57.04
64,Norman Wells,CA,65.282,-126.8329,48.24,61,40,9.22,48.24
65,Rocha,UY,-34.4833,-54.3333,50.09,80,6,5.41,50.09
66,Aykhal,RU,66.0,111.5,33.62,97,100,9.6,33.62
67,Key West,US,24.5557,-81.7826,85.37,74,20,8.05,89.6
68,Hong Kong,HK,22.2855,114.1577,77.72,81,57,5.99,78.85
69,Huarmey,PE,-10.0681,-78.1522,70.97,76,36,11.34,70.97
70,Acapulco de Juárez,MX,16.8634,-99.8901,85.82,62,0,18.41,85.82
71,Wau,SS,7.7029,27.9953,77.94,74,62,4.03,77.94
72,Pentecoste,BR,-3.7928,-39.2703,76.08,92,80,5.46,76.08
73,Galle,LK,6.0367,80.217,79.39,87,74,9.53,79.39
74,Khatanga,RU,71.9667,102.5,24.24,90,57,3.29,24.24
75,Salalah,OM,17.0151,54.0924,84.29,84,40,6.91,84.29
76,Bonavista,CA,48.6499,-53.1147,45.03,82,100,10.09,45.03
77,Jutaí,BR,-5.1833,-68.9,72.64,74,95,1.12,72.64
78,Esperance,AU,-33.8667,121.9,61.54,69,71,7.36,61.54
79,Thompson,CA,55.7435,-97.8558,39.36,56,75,14.97,39.36
80,Rome,US,43.2128,-75.4557,57.18,92,100,14.97,58.95
81,Vila Velha,BR,-20.3297,-40.2925,75.15,50,0,6.91,75.15
82,Hobart,AU,-42.8794,147.3294,40.95,88,75,8.05,42.26
83,Norrtälje,SE,59.758,18.705,50.11,78,100,5.19,57.38
84,Maniitsoq,GL,65.4167,-52.9,39.11,65,15,9.93,39.11
85,Leh,IN,34.1667,77.5833,46.53,54,98,6.49,46.53
86,Broome,US,42.2506,-75.833,67.53,76,75,10.36,70.56
87,Cape Town,ZA,-33.9258,18.4232,54.01,65,0,7.0,56.91
88,Longyearbyen,SJ,78.2186,15.6401,30.04,69,75,11.5,30.04
89,Pevek,RU,69.7008,170.3133,32.22,99,100,2.64,32.22
90,Bethel,US,41.3712,-73.414,58.06,84,99,1.99,60.67
91,Moose Factory,CA,51.2585,-80.6094,51.78,46,100,11.5,53.6
92,Kavieng,PG,-2.5744,150.7967,82.15,77,12,8.99,82.15
93,Zhangaözen,KZ,43.3,52.8,69.1,37,46,5.14,69.1
94,Ribeira Grande,PT,38.5167,-28.7,63.0,72,40,10.36,63.0
95,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,6.91,32.0
96,Grand Gaube,MU,-20.0064,57.6608,71.38,79,58,1.01,73.8
97,Grindavik,IS,63.8424,-22.4338,50.47,81,100,8.05,53.55
98,Nikolskoye,RU,59.7035,30.7861,44.19,65,0,2.71,44.49
99,Khasan,RU,42.4308,130.6434,52.97,88,82,4.14,52.97
100,Oltu,TR,40.5498,42.0013,46.17,95,100,5.93,46.17
101,Nizwá,OM,22.9333,57.5333,85.46,28,1,5.23,85.46
102,Kaseda-shirakame,JP,31.4167,130.3167,64.85,79,100,5.55,64.85
103,Beidao,CN,34.5686,105.8933,58.17,82,100,3.13,58.17
104,Bluff,NZ,-46.6,168.3333,40.8,66,99,15.57,40.8
105,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,17.27,84.81
106,Hamilton,US,39.1834,-84.5333,82.11,62,40,8.05,84.61
107,Mataura,NZ,-46.1927,168.8643,40.48,94,98,3.89,40.48
108,Nome,US,64.5011,-165.4064,30.27,100,100,6.91,44.17
109,Ponta do Sol,PT,32.6667,-17.1,70.03,79,98,3.58,71.01
110,Arraial do Cabo,BR,-22.9661,-42.0278,67.86,73,40,34.52,67.86
111,Puerto Madryn,AR,-42.7692,-65.0385,57.02,34,68,1.68,57.02
112,Dillon,US,34.4166,-79.3712,96.93,28,3,13.33,99.25
113,Tuatapere,NZ,-46.1333,167.6833,43.36,83,100,10.11,43.36
114,Cap Malheureux,MU,-19.9842,57.6142,71.47,79,52,1.01,71.47
115,Tiksi,RU,71.6872,128.8694,26.58,96,100,7.29,26.58
116,Guilin,CN,25.2819,110.2864,69.91,83,100,2.15,69.91
117,East London,ZA,-33.0153,27.9116,62.44,93,88,19.66,62.44
118,Hergla,TN,36.0303,10.509,69.66,83,0,9.22,69.66
119,Airai,TL,-8.9266,125.4092,57.52,92,43,3.85,57.52
